,title,id,score
0,Cornea made from pig collagen gives people who were blind 20/20 vision,wmexys,14716
1,Health and environmental concerns reduce meat intake in Australia,wm3sio,2536
2,California to become 1st state to offer free school lunches for all students,wml0bz,793
3,Brooklyn News: Bodega Cat Returned in Park Slope,wm3s54,186
4,Dog missing for months reunited with family after spelunkers find her in cave,wmkezo,47
5,California to become 1st state to offer free school lunches for all students,wmnuqo,47
6,‘Hero’ dog aids Gardnerville man with heat exhaustion,wm3yvc,28
7,"A new method boosts wind farms’ energy output, without new equipment",wmmuvq,30
8,High school football player excels on field despite limb difference,wly7jw,20
9,CDC ends social distancing and contact quarantining Covid recommendations | Coronavirus,wm8dm7,0
